date,num_target,num_held,target,held,buy_skipped_limit_up,sold_out
2006-01-04,0,0,,,,
2006-02-06,2,2,000933|600428,000933|600428,,
2006-03-01,2,2,000933|600428,000933|600428,,
2006-04-03,2,2,000933|600428,000933|600428,,
2006-05-08,10,10,001696|002022|000937|000550|000933|002025|000155|600428|600096|000912,000155|000550|000912|000933|000937|001696|002022|002025|600096|600428,,
2006-06-01,20,20,002050|001696|002022|600880|600436|600227|000937|000550|002025|600997|600761|600428|000155|000983|000069|600583|600096|000912|600418|600019,000069|000155|000550|000912|000937|000983|001696|002022|002025|002050|600019|600096|600227|600418|600428|600436|600583|600761|600880|600997,,000933
2006-07-03,20,20,002050|001696|002028|002010|002022|600436|600348|002041|600880|600227|000937|600123|000550|002025|000933|600997|000066|000155|600428|600761,000066|000155|000550|000933|000937|001696|002010|002022|002025|002028|002041|002050|600123|600227|600348|600428|600436|600761|600880|600997,,600096|000912|000983|000069|600583|600418|600019
2006-08-01,20,20,002050|600276|002010|002028|001696|002041|002022|600436|600348|600880|600227|000937|000731|600123|600596|002025|000933|600997|000550|000066,000066|000550|000731|000933|000937|001696|002010|002022|002025|002028|002041|002050|600123|600227|600276|600348|600436|600596|600880|600997,,000155|600428|600761
2006-09-01,4,4,600497|600809|600362|000792,000792|600362|600497|600809,,002050|002010|002028|001696|002041|002022|600436|600348|600880|600227|000937|600123|002025|000933|600997|000550|000066|600276|000731|600596
2006-10-09,4,4,600497|600809|600362|000792,000792|600362|600497|600809,,
2006-11-01,5,5,600497|600809|000088|600362|000792,000088|000792|600362|600497|600809,,
2006-12-01,5,5,600497|600809|000088|600362|000792,000088|000792|600362|600497|600809,,
2007-01-04,5,5,600497|600809|000088|600362|000792,000088|000792|600362|600497|600809,,
2007-02-01,3,3,600497|600809|000088,000088|600497|600809,,600362|000792
2007-03-01,3,3,600497|600809|000088,000088|600497|600809,,
2007-04-02,4,4,002109|600497|600809|000088,000088|002109|600497|600809,,
2007-05-08,20,19,002108|002003|002100|002096|002101|002091|002090|002109|600527|600547|600971|600276|600348|002028|600227|000987|600517|600880|002092|600271,000987|002003|002028|002090|002091|002092|002096|002100|002101|002108|002109|600227|600271|600348|600517|600527|600547|600880|600971,600276,600497|600809|000088
2007-06-01,20,20,002108|002065|002003|002100|002115|002096|002101|002091|002099|002090|002056|002109|600547|002076|002061|600527|002073|002069|600971|002028,002003|002028|002056|002061|002065|002069|002073|002076|002090|002091|002096|002099|002100|002101|002108|002109|002115|600527|600547|600971,,600348|600227|000987|600517|600880|002092|600271
2007-07-02,20,20,002108|002065|002107|002003|002091|002117|002115|002101|002099|002090|002056|002109|002080|002104|002095|600527|002061|002076|002073|002103,002003|002056|002061|002065|002073|002076|002080|002090|002091|002095|002099|002101|002103|002104|002107|002108|002109|002115|002117|600527,,002100|002096|600547|600971|002028|002069
2007-08-01,20,20,002108|002063|002107|002117|002101|002096|002003|002115|002091|002099|002086|002090|002056|002109|002080|002104|600527|002073|002061|002069,002003|002056|002061|002063|002069|002073|002080|002086|002090|002091|002096|002099|002101|002104|002107|002108|002109|002115|002117|600527,,002065|002076|002095|002103
2007-09-03,6,5,600517|600809|600497|600012|600031|600028,600028|600031|600497|600517|600809,600012,002108|002107|002117|002101|002003|002115|002091|002099|002090|002056|002109|002080|002104|600527|002073|002061|002063|002096|002086|002069
2007-10-08,7,7,002138|600517|600809|600497|600012|600031|600028,002138|600012|600028|600031|600497|600517|600809,,
2007-11-01,7,7,002138|600517|600809|001696|600012|600497|600031,001696|002138|600012|600031|600497|600517|600809,,600028
2007-12-03,10,10,002138|002064|600517|600809|001696|002019|600497|600012|600031|600028,001696|002019|002064|002138|600012|600028|600031|600497|600517|600809,,
2008-01-02,7,7,002138|600517|600809|600497|600012|600031|600028,002138|600012|600028|600031|600497|600517|600809,,001696|002064|002019
2008-02-01,8,8,002138|600809|600517|002019|001696|600012|600031|600028,001696|002019|002138|600012|600028|600031|600517|600809,,600497
2008-03-03,8,8,002138|600809|600517|002019|001696|600012|600031|600028,001696|002019|002138|600012|600028|600031|600517|600809,,
2008-04-01,10,10,002138|002153|002064|002019|600809|001696|600517|600012|600031|600028,001696|002019|002064|002138|002153|600012|600028|600031|600517|600809,,
2008-05-05,20,17,002063|002214|600845|002138|002153|002154|002165|002177|600993|002161|002003|002146|002111|600233|600525|600436|002064|000338|600161|002069,000338|002003|002063|002064|002111|002138|002146|002153|002154|002161|002165|002214|600233|600436|600525|600845|600993,002177|600161|002069,002019|600809|001696|600517|600012|600031|600028
2008-06-02,20,20,002195|002176|002063|002130|002206|002138|002148|002175|600845|002192|002214|002179|002180|002199|002196|002197|002153|002165|002154|002170,002063|002130|002138|002148|002153|002154|002165|002170|002175|002176|002179|002180|002192|002195|002196|002197|002199|002206|002214|600845,,002064|600993|002161|002003|002146|002111|600233|600525|600436|000338
2008-07-01,20,20,002195|002176|002130|002206|002063|002223|002148|002175|002138|002192|002165|002179|002174|002180|002214|600845|002150|002199|002196|002153,002063|002130|002138|002148|002150|002153|002165|002174|002175|002176|002179|002180|002192|002195|002196|002199|002206|002214|002223|600845,,002154|002197|002170
2008-08-01,20,20,002195|002176|002130|002178|002206|002063|002148|002223|002138|002175|002192|002179|002174|002165|002180|002150|002214|002199|600845|002153,002063|002130|002138|002148|002150|002153|002165|002174|002175|002176|002178|002179|002180|002192|002195|002199|002206|002214|002223|600845,,002196
2008-09-01,13,13,002223|002124|002001|600547|600188|600596|000612|600428|000983|600309|600026|601919|601857,000612|000983|002001|002124|002223|600026|600188|600309|600428|600547|600596|601857|601919,,002195|002176|002130|002206|002063|002148|002138|002175|002192|002179|002174|002165|002180|002150|002214|002199|600845|002153|002178
2008-10-06,14,14,002223|002124|002001|600547|000718|600188|000612|600596|600309|600026|600428|000983|601919|601857,000612|000718|000983|002001|002124|002223|600026|600188|600309|600428|600547|600596|601857|601919,,
2008-11-03,0,0,,,,002223|002124|002001|600547|600188|000612|600596|600309|600026|600428|000983|601919|601857|000718
2008-12-01,0,0,,,,
2009-01-05,0,0,,,,
2009-02-02,0,0,,,,
2009-03-02,0,0,,,,
2009-04-01,0,0,,,,
2009-05-04,0,0,,,,
2009-06-01,0,0,,,,
2009-07-01,0,0,,,,
2009-08-03,0,0,,,,
2009-09-01,8,8,002215|002001|600366|600588|002128|600276|600809|600547,002001|002128|002215|600276|600366|600547|600588|600809,,
2009-10-09,7,7,002215|002001|600366|600588|002128|600276|600809,002001|002128|002215|600276|600366|600588|600809,,600547
2009-11-02,0,0,,,,002215|002001|600366|600588|002128|600276|600809
2009-12-01,0,0,,,,
2010-01-04,0,0,,,,
2010-02-01,0,0,,,,
2010-03-01,0,0,,,,
2010-04-01,0,0,,,,
2010-05-04,20,20,300012|300015|300008|300005|300013|300025|300024|300001|300046|300031|300037|300039|300033|300018|300027|300007|000848|300002|600188|601088,000848|300001|300002|300005|300007|300008|300012|300013|300015|300018|300024|300025|300027|300031|300033|300037|300039|300046|600188|601088,,
2010-06-01,20,20,300043|300017|300026|300058|300012|300054|300009|300015|300035|300014|300008|300044|300016|300034|300013|300019|300005|300047|300036|300025,300005|300008|300009|300012|300013|300014|300015|300016|300017|300019|300025|300026|300034|300035|300036|300043|300044|300047|300054|300058,,300024|300001|300046|300031|300037|300039|300033|300018|300027|300007|000848|300002|600188|601088
