date,num_target,num_held,target,held,buy_skipped_limit_up,sold_out,sell_skipped_limit_down
2006-01-04,0,0,,,,,
2006-02-06,6,6,002033|002044|002040|600428|000933|600886,000933|002033|002040|002044|600428|600886,,,
2006-03-01,8,8,002033|000550|002044|002040|600428|600010|000933|600886,000550|000933|002033|002040|002044|600010|600428|600886,,,
2006-04-03,8,8,002033|000550|002040|002044|600428|600010|000933|600886,000550|000933|002033|002040|002044|600010|600428|600886,,,
2006-05-08,10,10,000550|002022|600428|000937|002025|000933|001696|600096|000155|000912,000155|000550|000912|000933|000937|001696|002022|002025|600096|600428,,002033|002040|002044|600010|600886,
2006-06-01,20,20,600227|000550|600436|002022|600583|600428|000937|002025|002050|600525|600997|600500|001696|000983|600420|600096|600880|000155|600019|600761,000155|000550|000937|000983|001696|002022|002025|002050|600019|600096|600227|600420|600428|600436|600500|600525|600583|600761|600880|600997,,000933|000912,
2006-07-03,20,20,600227|000550|600436|600026|600348|002022|002010|600583|600123|600428|000066|000937|002028|002025|002050|600362|600525|000933|600500|600997,000066|000550|000933|000937|002010|002022|002025|002028|002050|600026|600123|600227|600348|600362|600428|600436|600500|600525|600583|600997,,001696|600096|000155|000983|600420|600880|600019|600761,
2006-08-01,20,20,600227|000550|600276|000088|600436|600348|600026|002022|600583|000039|002025|600123|000066|600428|002028|000937|000731|002010|002050|600362,000039|000066|000088|000550|000731|000937|002010|002022|002025|002028|002050|600026|600123|600227|600276|600348|600362|600428|600436|600583,,600525|600500|600997|000933,
2006-09-01,20,20,600271|000550|600276|002033|600436|002022|000088|002025|600875|600583|600362|600123|000006|600348|600026|000731|600761|600650|600428|002028,000006|000088|000550|000731|002022|002025|002028|002033|600026|600123|600271|600276|600348|600362|600428|600436|600583|600650|600761|600875,,600227|000066|000937|002010|002050|000039,
2006-10-09,20,20,600271|000550|600276|002033|600436|000088|600583|002022|600123|600875|600362|002025|000006|600348|000731|600026|600650|600428|600761|002028,000006|000088|000550|000731|002022|002025|002028|002033|600026|600123|600271|600276|600348|600362|600428|600436|600583|600650|600761|600875,,,
2006-11-01,20,19,600271|000987|000550|600276|600227|002033|600150|600436|000088|600875|600362|002025|002046|600583|600809|600497|600348|600123|600761|600518,000088|000550|000987|002025|002033|002046|600123|600150|600227|600271|600276|600348|600362|600436|600518|600583|600761|600809|600875,600497,002022|000006|000731|600026|600650|600428|002028,
