date,pos_ratio
2006-01-31,
2006-02-28,
2006-03-31,
2006-04-30,0.3
2006-05-31,0.3
2006-06-30,0.3
2006-07-31,0.38433779320920686
2006-08-31,0.4826983440464725
2006-09-30,0.5333701174702764
2006-10-31,0.5976530588701185
2006-11-30,0.564893625040053
2006-12-31,0.5133453799022047
2007-01-31,0.44748126778448155
2007-02-28,0.40234438377057324
2007-03-31,0.37121013049806784
2007-04-30,0.34963808190457996
2007-05-31,0.3346449705929526
2007-06-30,0.32420190029648166
2007-07-31,0.3169171207502497
2007-08-31,0.31183015068055525
2007-09-30,0.3082753167364558
2007-10-31,0.30578988860203954
2007-11-30,0.30405153494965215
2007-12-31,0.30470463822334415
2008-01-31,0.3032926947116948
2008-02-29,0.3023046158733856
2008-03-31,0.3016130986296448
2008-04-30,0.3011291041337683
2008-05-31,0.3007903410923239
2008-06-30,0.3005532231830487
2008-07-31,0.3003872485935265
2008-08-31,0.3002710702746362
2008-09-30,0.30018974735928045
2008-10-31,0.3001328222533583
2008-11-30,0.3000929751372682
2008-12-31,0.300065082380449
2009-01-31,0.30747719407840457
2009-02-28,0.36609942763566466
2009-03-31,0.3982350285034521
2009-04-30,0.3966154878181888
2009-05-31,0.4176502728460116
2009-06-30,0.435096155654777
2009-07-31,0.433687308061358
2009-08-31,0.3935810977685591
2009-09-30,0.3655067596795423
2009-10-31,0.3511097078442076
2009-11-30,0.34751564842316063
2009-12-31,0.3559398254669055
2010-01-31,0.33915787656978474
2010-02-28,0.3286168231078216
2010-03-31,0.3354292764255151
2010-04-30,0.3248004932247821
2010-05-31,0.317360345123539
2010-06-30,0.31215224152091114
2010-07-31,0.3085065690325104
2010-08-31,0.3700988462845588
2010-09-30,0.530869193093416
2010-10-31,0.6263084354538735
2010-11-30,0.6635106943442522
2010-12-31,0.684828009916363
2011-01-31,0.5693796068217596
2011-02-28,0.6467000087637692
2011-03-31,0.7223900061730907
2011-04-30,0.5956730042761009
2011-05-31,0.50697110297119
2011-06-30,0.44487977206901347
2011-07-31,0.4014158404430079
2011-08-31,0.37099108830750777
2011-09-30,0.34969376181398254
2011-10-31,0.33478563326916405
2011-11-30,0.3243499432881092
2011-12-31,0.3170449603015266
2012-01-31,0.31193147221099526
2012-02-29,0.36810939411023186
2012-03-31,0.34767657587701856
2012-04-30,0.53599360311484
2012-05-31,0.6701555221808502
2012-06-30,0.5591088655263273
2012-07-31,0.4813762058682979
2012-08-31,0.4269633441077442
2012-09-30,0.3888743408753894
2012-10-31,0.36221203861275714
2012-11-30,0.3435484270289224
2012-12-31,0.5375438989203007
2013-01-31,0.6696807292442368
2013-02-28,0.7633165104709788
2013-03-31,0.833721557329692
2013-04-30,0.7786050901307805
2013-05-31,0.8447235630915495
2013-06-30,0.6813064941640792
2013-07-31,0.5669145459148528
2013-08-31,0.5721680834649681
2013-09-30,0.7005176584254791
2013-10-31,0.6853623608978352
2013-11-30,0.7797536526284852
2013-12-31,0.7408275568399394
2014-01-31,0.7135792897879576
