date,code,action,price
2006-02-06,002033,BUY,1.7774517
2006-02-06,002040,BUY,3.31407468
2006-02-06,002044,BUY,0.5614839
2006-02-06,600886,BUY,1.2315457
2006-02-06,600428,BUY,2.48531535
2006-02-06,000933,BUY,1.6616433
2006-03-01,000550,BUY,2.44337808
2006-03-01,600010,BUY,0.94996753
2006-05-08,002044,SELL_REBAL,0.55732476
2006-05-08,002040,SELL_REBAL,3.31407468
2006-05-08,002033,SELL_REBAL,2.11942836
2006-05-08,600886,SELL_REBAL,1.2302696
2006-05-08,600010,SELL_REBAL,0.62574653
2006-05-08,001696,BUY,0.61866142
2006-05-08,000937,BUY,0.92942586
2006-05-08,000155,BUY,3.9280672
2006-05-08,002022,BUY,2.71935716
2006-05-08,000912,BUY,6.1421316
2006-05-08,600096,BUY,6.85913764
2006-05-08,002025,BUY,9.25790448
2006-06-01,000933,SELL_REBAL,2.0590847
2006-06-01,600227,BUY,2.31550452
2006-06-01,002050,BUY,0.6964461
2006-06-01,000983,BUY,1.5761944
2006-06-01,600420,BUY,2.92979792
2006-06-01,600880,BUY,2.48699424
2006-06-01,600525,BUY,1.73196569
2006-06-01,600997,BUY,2.54810045
2006-06-01,000069,BUY,2.3752288
2006-06-01,600500,BUY,3.4986545
2006-06-01,600418,BUY,3.7804745
2006-06-01,600436,BUY,3.9169878
2006-07-03,000912,SELL_REBAL,6.8401011
2006-07-03,000550,SELL_REBAL,4.37771906
2006-07-03,001696,SELL_REBAL,0.81669448
2006-07-03,600525,SELL_REBAL,2.17173642
2006-07-03,000069,SELL_REBAL,1.9201616
2006-07-03,600500,SELL_REBAL,3.2846872
2006-07-03,000066,BUY,2.60981424
2006-07-03,002028,BUY,2.91897276
2006-07-03,600123,BUY,2.171834
2006-07-03,002010,BUY,2.3273328
2006-07-03,600026,BUY,4.76642232
2006-07-03,600348,BUY,1.0382271
2006-08-01,600227,SELL_REBAL,2.1939141
2006-08-01,002050,SELL_REBAL,0.66377332
2006-08-01,000155,SELL_REBAL,4.57665504
2006-08-01,600420,SELL_REBAL,2.3423024
2006-08-01,600096,SELL_REBAL,6.99466396
2006-08-01,002028,SELL_REBAL,2.731659
2006-08-01,600123,SELL_REBAL,1.96858312
2006-08-01,002010,SELL_REBAL,2.0941284
2006-08-01,600276,BUY,0.92337234
2006-08-01,000027,BUY,2.03010032
2006-08-01,000731,BUY,5.08330254
2006-08-01,600012,BUY,2.31292928
2006-08-01,000088,BUY,3.11598342
2006-08-01,000898,BUY,2.58281172
2006-08-01,600761,BUY,3.9835605
2006-08-01,600583,BUY,3.64420035
2006-09-01,600436,SELL_REBAL,3.51848035
2006-09-01,600418,SELL_REBAL,2.749436
2006-09-01,000066,SELL_REBAL,2.10430968
2006-09-01,002025,SELL_REBAL,6.84161856
2006-09-01,600026,SELL_REBAL,5.03857915
2006-09-01,000027,SELL_REBAL,2.05761674
2006-09-01,000731,SELL_REBAL,5.65999926
2006-09-01,000898,SELL_REBAL,2.74546971
2006-09-01,600761,SELL_REBAL,3.953788
2006-09-01,600271,BUY,3.39458652
