month,w_applied,gold_ret,mmf_ret,gross,net,nav
2013-08-31,0,0.0489273616861,0.0037979620103,0.0037979620103,0.0037979620103,1.00379796201
2013-09-30,0,-0.0495156081808,0.0039464070881,0.0039464070881,0.0039464070881,1.0077593574
2013-10-31,0,-0.0135900339751,0.00404905174648,0.00404905174648,0.00404905174648,1.01183982719
2013-11-30,0,-0.0650593187907,0.00404353120288,0.00404353120288,0.00404353120288,1.0159312331
2013-12-31,0,-0.0274252967663,0.00474147108841,0.00474147108841,0.00474147108841,1.02074824167
2014-01-31,0,0.0357744107744,0.00538394615181,0.00538394615181,0.00538394615181,1.02624389524
2014-02-28,0,0.065014221861,0.00459260874178,0.00459260874178,0.00459260874178,1.03095703192
2014-03-31,0,-0.0183136207554,0.00461568728667,0.00461568728667,0.00461568728667,1.03571560719
2014-04-30,0,0.0151574038088,0.00419282344774,0.00419282344774,0.00419282344774,1.04005817987
2014-05-31,0,-0.0294793261868,0.00404072931708,0.00404072931708,0.00404072931708,1.04426077345
2014-06-30,0,0.0370808678501,0.00365933627676,0.00365933627676,0.00365933627676,1.04808207478
2014-07-31,0.89395103677,-0.0197793837961,0.00349004025851,-0.0173116855002,-0.018473821848,1.02871999325
2014-08-31,0.976072648647,-0.00892510671323,0.00346812673255,-0.00862856946218,-0.00873532755762,1.01973378714
2014-09-30,0,-0.048942834769,0.00336413799897,0.00336413799897,0.00209524355573,1.02187037779
2014-10-31,0,-0.0329353643475,0.00344711660064,0.00344711660064,0.00344711660064,1.02539288413
2014-11-30,0,0.00170285227756,0.00331242144999,0.00331242144999,0.00331242144999,1.02878941752
2014-12-31,0,0.0250743731407,0.00364052630037,0.00364052630037,0.00364052630037,1.03253475245
2015-01-31,0,0.0538971807629,0.00369120667126,0.00369120667126,0.00369120667126,1.03634605162
2015-02-28,0,-0.0302911093627,0.00332343371692,0.00332343371692,0.00332343371692,1.03979027903
2015-03-31,0,-0.0401622718053,0.00373876711996,0.00373876711996,0.00373876711996,1.04367781273
2015-04-30,0,0.0181741335587,0.00355028795392,0.00355028795392,0.00355028795392,1.0473831695
2015-05-31,0,-0.0116230801162,0.00348745144057,0.00348745144057,0.00348745144057,1.05103586744
2015-06-30,0,-0.0146997060059,0.00308017580212,0.00308017580212,0.00308017580212,1.05427324269
2015-07-31,0,-0.0763000852515,0.00282856409002,0.00282856409002,0.00282856409002,1.05725532212
2015-08-31,0,0.0793724042455,0.00270943574366,0.00270943574366,0.00270943574366,1.06011988748
2015-09-30,0,-0.0106883283454,0.00255937046827,0.00255937046827,0.00255937046827,1.06283312702
2015-10-31,0,0.0159896283492,0.002521751359,0.002521751359,0.002521751359,1.0655133279
2015-11-30,0,-0.0714589536368,0.00229040163647,0.00229040163647,0.00229040163647,1.06795378137
2015-12-31,0,0.0224461749885,0.00230402464624,0.00230402464624,0.00230402464624,1.0704143732
2016-01-31,0,0.0586917562724,0.00225334320015,0.00225334320015,0.00225334320015,1.07282638415
2016-02-29,0,0.0947947524333,0.00206192963476,0.00206192963476,0.00206192963476,1.07503847667
2016-03-31,0.67909458451,-0.0150753768844,0.00213370983658,-0.00955288776001,-0.0104357107199,1.06381968611
2016-04-30,0.602164779539,0.043956043956,0.00201226451221,0.027269331214,0.0271693224676,1.09272294621
2016-05-31,0,-0.0315789473684,0.00204649379407,0.00204649379407,0.00126367958067,1.09410379788
2016-06-30,0.737272754831,0.0939440993789,0.00199321771971,0.0697860975497,0.0688276429684,1.16940838346
2016-07-31,0.583621766497,0.014549325763,0.00202567284014,0.00933474928194,0.00913500299711,1.18009093254
2016-08-31,0,-0.01259181532,0.00197735944827,0.00197735944827,0.00121865115182,1.18152905172
2016-09-30,0.57731384558,0.0070846617074,0.00191113308923,0.00489788279101,0.00414737479175,1.18642929552
2016-10-31,0.934019333894,-0.0193457615195,0.00198968306011,-0.0179380346745,-0.0184017518093,1.16459691809
2016-11-30,0.809370258756,-0.0487804878049,0.00200421893112,-0.0390994123007,-0.0392614560983,1.11887314732
2016-12-31,0,-0.00603318250377,0.00239579214224,0.00239579214224,0.00134361080585,1.12037647737
2017-01-31,0,0.00189681335357,0.0029178215192,0.0029178215192,0.0029178215192,1.12364553596
2017-02-28,0,0.0503597122302,0.00274217899416,0.00274217899416,0.00274217899416,1.12672677315
2017-03-31,1,-0.00468637346792,0.00315737361838,-0.00468637346792,-0.00598637346792,1.11998176589
2017-04-30,1,0.0184715682724,0.00319356915478,0.0184715682724,0.0184715682724,1.14066958554
2017-05-31,0,-0.0131578947368,0.00336110426873,0.00336110426873,0.00206110426873,1.14302062449
2017-06-30,1,-0.021981981982,0.00333141247019,-0.021981981982,-0.023281981982,1.11640883891
2017-07-31,0,0.0103168754606,0.00341143865814,0.00341143865814,0.00211143865814,1.11876606769
2017-08-31,1,0.00510576221736,0.00333064590249,0.00510576221736,0.00380576221736,1.12302382532
2017-09-30,1,-0.00507982583454,0.00321392197122,-0.00507982583454,-0.00507982583454,1.11731905988
2017-10-31,0,-0.00875273522976,0.00325859699893,0.00325859699893,0.00195859699893,1.11950743764
2017-11-30,0,0.000735835172921,0.0031612802792,0.0031612802792,0.0031612802792,1.12304651442
2017-12-31,0,-0.00441176470588,0.0034195451307,0.0034195451307,0.0034195451307,1.12688682266
2018-01-31,0,0.00997045790251,0.0034286251701,0.0034286251701,0.0034286251701,1.13075049518
2018-02-28,0,-0.0157221206581,0.0030632150111,0.0030632150111,0.0030632150111,1.13421422707
2018-03-31,0,0,0.0034714277878,0.0034714277878,0.0034714277878,1.13815156986
2018-04-30,0,0,0.00326244335486,0.00326244335486,0.00326244335486,1.14186472489
2018-05-31,0,-0.00222882615156,0.0031617570403,0.0031617570403,0.0031617570403,1.14547502372
2018-06-30,0,-0.00930752047654,0.00303157322978,0.00303157322978,0.00303157322978,1.14894761514
2018-07-31,0,0.00450958286359,0.00294363458587,0.00294363458587,0.00294363458587,1.15232969707
2018-08-31,0,-0.010101010101,0.00274283364103,0.00274283364103,0.00274283364103,1.15549034573
2018-09-30,0,-0.00869236583522,0.00240919075522,0.00240919075522,0.00240919075522,1.15827414239
2018-10-31,0,0.0385055280213,0.00225711140281,0.00225711140281,0.00225711140281,1.16088849617
2018-11-30,1,0.00293685756241,0.00205233309056,0.00293685756241,0.00163685756241,1.16278870528
2018-12-31,1,0.0344070278184,0.00214939226876,0.0344070278184,0.0344070278184,1.20279680861
