净值日期,每万份收益,7日年化收益率,申购状态,赎回状态
2013-05-30,1.1349,2.093,封闭期,封闭期
2013-06-02,3.6037,2.665,封闭期,封闭期
2013-06-03,0.8201,2.728,开放申购,开放赎回
2013-06-04,0.82,2.772,开放申购,开放赎回
2013-06-05,0.82,3.023,开放申购,开放赎回
2013-06-06,0.8199,3.043,开放申购,开放赎回
2013-06-07,0.8193,3.041,开放申购,开放赎回
2013-06-08,0.8191,3.039,开放申购,开放赎回
2013-06-09,0.819,3.037,开放申购,开放赎回
2013-06-10,0.819,3.036,开放申购,开放赎回
2013-06-11,0.8189,3.036,开放申购,开放赎回
2013-06-12,0.8188,3.035,开放申购,开放赎回
2013-06-13,1.1907,3.234,开放申购,开放赎回
2013-06-14,1.2829,3.484,开放申购,开放赎回
2013-06-15,1.2784,3.732,开放申购,开放赎回
2013-06-16,1.2782,3.981,开放申购,开放赎回
2013-06-17,1.4768,4.338,开放申购,开放赎回
2013-06-18,1.4387,4.676,开放申购,开放赎回
2013-06-19,1.3535,4.968,开放申购,开放赎回
2013-06-20,1.4237,5.096,开放申购,开放赎回
2013-06-21,1.5131,5.222,开放申购,开放赎回
2013-06-22,1.4577,5.32,开放申购,开放赎回
2013-06-23,1.4575,5.419,开放申购,开放赎回
2013-06-24,1.565,5.467,开放申购,开放赎回
2013-06-25,1.7863,5.658,开放申购,开放赎回
2013-06-26,1.7198,5.86,开放申购,开放赎回
2013-06-27,1.6592,5.991,开放申购,开放赎回
2013-06-28,1.6823,6.084,开放申购,开放赎回
2013-06-29,1.6521,6.192,开放申购,开放赎回
2013-06-30,1.6518,6.299,开放申购,开放赎回
2013-07-01,1.5787,6.307,开放申购,开放赎回
2013-07-02,1.5461,6.174,开放申购,开放赎回
2013-07-03,1.467,6.034,开放申购,开放赎回
2013-07-04,1.4223,5.903,开放申购,开放赎回
2013-07-05,1.3845,5.739,开放申购,开放赎回
2013-07-06,1.3674,5.582,开放申购,开放赎回
2013-07-07,1.3671,5.425,开放申购,开放赎回
2013-07-08,1.3129,5.279,开放申购,开放赎回
2013-07-09,1.3096,5.15,开放申购,开放赎回
2013-07-10,1.2792,5.047,开放申购,开放赎回
2013-07-11,1.2616,4.959,开放申购,开放赎回
2013-07-12,1.2487,4.884,开放申购,开放赎回
2013-07-13,1.2396,4.815,开放申购,开放赎回
2013-07-14,1.2394,4.745,开放申购,开放赎回
2013-07-15,1.1985,4.682,开放申购,开放赎回
2013-07-16,1.2214,4.634,开放申购,开放赎回
2013-07-17,1.1829,4.582,开放申购,开放赎回
2013-07-18,1.1896,4.543,开放申购,开放赎回
2013-07-19,1.2032,4.518,开放申购,开放赎回
2013-07-20,1.1964,4.494,开放申购,开放赎回
2013-07-21,1.1962,4.471,开放申购,开放赎回
2013-07-22,1.1547,4.447,开放申购,开放赎回
2013-07-23,1.1826,4.426,开放申购,开放赎回
2013-07-24,1.1805,4.424,开放申购,开放赎回
2013-07-25,1.1645,4.411,开放申购,开放赎回
2013-07-26,1.1777,4.397,开放申购,开放赎回
2013-07-27,1.1728,4.384,开放申购,开放赎回
2013-07-28,1.1726,4.371,开放申购,开放赎回
2013-07-29,1.1515,4.369,开放申购,开放赎回
2013-07-30,1.1958,4.377,开放申购,开放赎回
2013-07-31,1.2088,4.392,开放申购,开放赎回
2013-08-01,1.2026,4.413,开放申购,开放赎回
2013-08-02,1.222,4.437,开放申购,开放赎回
2013-08-03,1.2154,4.46,开放申购,开放赎回
2013-08-04,1.2152,4.483,开放申购,开放赎回
2013-08-05,1.1875,4.503,开放申购,开放赎回
2013-08-06,1.204,4.507,开放申购,开放赎回
2013-08-07,1.2118,4.509,开放申购,开放赎回
2013-08-08,1.2155,4.516,开放申购,开放赎回
2013-08-09,1.2174,4.513,开放申购,开放赎回
2013-08-10,1.2128,4.512,开放申购,开放赎回
2013-08-11,1.2126,4.511,开放申购,开放赎回
2013-08-12,1.1886,4.511,开放申购,开放赎回
2013-08-13,1.2143,4.517,开放申购,开放赎回
2013-08-14,1.2201,4.521,开放申购,开放赎回
2013-08-15,1.2184,4.523,开放申购,开放赎回
2013-08-16,1.219,4.524,开放申购,开放赎回
2013-08-17,1.215,4.525,开放申购,开放赎回
2013-08-18,1.2148,4.526,开放申购,开放赎回
2013-08-19,1.1987,4.532,开放申购,开放赎回
2013-08-20,1.2288,4.54,开放申购,开放赎回
2013-08-21,1.2307,4.545,开放申购,开放赎回
2013-08-22,1.2187,4.546,开放申购,开放赎回
2013-08-23,1.2236,4.548,开放申购,开放赎回
2013-08-24,1.2204,4.551,开放申购,开放赎回
2013-08-25,1.2202,4.554,开放申购,开放赎回
2013-08-26,1.185,4.546,开放申购,开放赎回
2013-08-27,1.2131,4.538,开放申购,开放赎回
2013-08-28,1.213,4.528,开放申购,开放赎回
2013-08-29,1.3194,4.583,开放申购,开放赎回
2013-08-30,1.4113,4.686,开放申购,开放赎回
2013-08-31,1.2201,4.685,开放申购,开放赎回
2013-09-01,1.2199,4.685,开放申购,开放赎回
2013-09-02,1.4475,4.829,开放申购,开放赎回
2013-09-03,1.2339,4.84,开放申购,开放赎回
2013-09-04,1.2349,4.852,开放申购,开放赎回
2013-09-05,1.2374,4.807,开放申购,开放赎回
2013-09-06,1.5058,4.859,开放申购,开放赎回
2013-09-07,1.2415,4.87,开放申购,开放赎回
2013-09-08,1.2381,4.88,开放申购,开放赎回
2013-09-09,1.44,4.876,开放申购,开放赎回
2013-09-10,1.4214,4.979,开放申购,开放赎回
2013-09-11,1.2527,4.989,开放申购,开放赎回
2013-09-12,1.2598,5.001,开放申购,开放赎回
2013-09-13,1.3805,4.932,开放申购,开放赎回
2013-09-14,1.2613,4.943,开放申购,开放赎回
2013-09-15,1.2611,4.956,开放申购,开放赎回
2013-09-16,1.4143,4.942,开放申购,开放赎回
2013-09-17,1.2495,4.848,开放申购,开放赎回
2013-09-18,1.3366,4.894,开放申购,开放赎回
2013-09-19,1.2594,4.893,开放申购,开放赎回
2013-09-20,1.2592,4.827,开放申购,开放赎回
2013-09-21,1.2569,4.825,开放申购,开放赎回
2013-09-22,1.2567,4.822,开放申购,开放赎回
2013-09-23,1.2346,4.724,开放申购,开放赎回
2013-09-24,1.3281,4.767,开放申购,开放赎回
2013-09-25,1.3895,4.796,开放申购,开放赎回
2013-09-26,1.4449,4.897,开放申购,开放赎回
2013-09-27,1.3799,4.963,开放申购,开放赎回
2013-09-28,1.3138,4.994,开放申购,开放赎回
2013-09-29,1.3136,5.026,开放申购,开放赎回
2013-09-30,1.3162,5.07,开放申购,开放赎回
2013-10-01,1.3181,5.065,开放申购,开放赎回
2013-10-02,1.3179,5.026,开放申购,开放赎回
2013-10-03,1.3177,4.956,开放申购,开放赎回
2013-10-04,1.3175,4.922,开放申购,开放赎回
2013-10-05,1.3173,4.924,开放申购,开放赎回
2013-10-06,1.3111,4.922,开放申购,开放赎回
2013-10-07,1.3109,4.919,开放申购,开放赎回
2013-10-08,1.4756,5.006,开放申购,开放赎回
2013-10-09,1.2935,4.992,开放申购,开放赎回
2013-10-10,1.3088,4.987,开放申购,开放赎回
2013-10-11,1.3122,4.985,开放申购,开放赎回
2013-10-12,1.3082,4.98,开放申购,开放赎回
2013-10-13,1.308,4.978,开放申购,开放赎回
2013-10-14,1.2777,4.96,开放申购,开放赎回
2013-10-15,1.3456,4.889,开放申购,开放赎回
2013-10-16,1.313,4.899,开放申购,开放赎回
2013-10-17,1.2908,4.889,开放申购,开放赎回
2013-10-18,1.2917,4.878,开放申购,开放赎回
2013-10-19,1.2859,4.866,开放申购,开放赎回
2013-10-20,1.2857,4.854,开放申购,开放赎回
2013-10-21,1.34,4.888,开放申购,开放赎回
2013-10-22,1.2698,4.846,开放申购,开放赎回
2013-10-23,1.273,4.825,开放申购,开放赎回
2013-10-24,1.2811,4.819,开放申购,开放赎回
2013-10-25,1.2758,4.811,开放申购,开放赎回
2013-10-26,1.2731,4.804,开放申购,开放赎回
2013-10-27,1.2729,4.797,开放申购,开放赎回
2013-10-28,1.2428,4.743,开放申购,开放赎回
2013-10-29,1.289,4.754,开放申购,开放赎回
2013-10-30,1.2902,4.763,开放申购,开放赎回
2013-10-31,1.2965,4.772,开放申购,开放赎回
2013-11-01,1.2919,4.781,开放申购,开放赎回
2013-11-02,1.2911,4.79,开放申购,开放赎回
2013-11-03,1.291,4.8,开放申购,开放赎回
2013-11-04,1.2888,4.825,开放申购,开放赎回
2013-11-05,1.2938,4.828,开放申购,开放赎回
2013-11-06,1.2917,4.829,开放申购,开放赎回
2013-11-07,1.2935,4.827,开放申购,开放赎回
2013-11-08,1.292,4.827,开放申购,开放赎回
2013-11-09,1.2891,4.826,开放申购,开放赎回
2013-11-10,1.2889,4.825,开放申购,开放赎回
2013-11-11,1.4962,4.938,开放申购,开放赎回
2013-11-12,1.4577,5.028,开放申购,开放赎回
2013-11-13,1.4097,5.093,开放申购,开放赎回
2013-11-14,1.3294,5.112,开放申购,开放赎回
2013-11-15,1.4738,5.212,开放申购,开放赎回
2013-11-16,1.3102,5.224,开放申购,开放赎回
2013-11-17,1.31,5.235,开放申购,开放赎回
2013-11-18,1.321,5.139,开放申购,开放赎回
2013-11-19,1.3377,5.073,开放申购,开放赎回
2013-11-20,1.3352,5.033,开放申购,开放赎回
2013-11-21,1.3442,5.041,开放申购,开放赎回
2013-11-22,1.3502,4.973,开放申购,开放赎回
2013-11-23,1.3469,4.993,开放申购,开放赎回
2013-11-24,1.3467,5.013,开放申购,开放赎回
2013-11-25,1.361,5.035,开放申购,开放赎回
2013-11-26,1.3774,5.057,开放申购,开放赎回
2013-11-27,1.3755,5.079,开放申购,开放赎回
2013-11-28,1.3862,5.102,开放申购,开放赎回
2013-11-29,1.3879,5.123,开放申购,开放赎回
2013-11-30,1.3878,5.145,开放申购,开放赎回
2013-12-01,1.3876,5.168,开放申购,开放赎回
2013-12-02,1.3882,5.182,开放申购,开放赎回
2013-12-03,1.399,5.194,开放申购,开放赎回
2013-12-04,1.3982,5.207,开放申购,开放赎回
2013-12-05,1.4025,5.216,开放申购,开放赎回
2013-12-06,1.3848,5.214,开放申购,开放赎回
2013-12-07,1.3815,5.211,开放申购,开放赎回
2013-12-08,1.3809,5.207,开放申购,开放赎回
2013-12-09,1.4227,5.226,开放申购,开放赎回
2013-12-10,1.4271,5.241,开放申购,开放赎回
2013-12-11,1.42,5.253,开放申购,开放赎回
2013-12-12,1.4663,5.288,开放申购,开放赎回
2013-12-13,1.4527,5.325,开放申购,开放赎回
2013-12-14,1.4493,5.363,开放申购,开放赎回
2013-12-15,1.4491,5.4,开放申购,开放赎回
2013-12-16,1.4771,5.43,开放申购,开放赎回
2013-12-17,1.4532,5.444,开放申购,开放赎回
2013-12-18,1.4542,5.463,开放申购,开放赎回
2013-12-19,1.5167,5.491,开放申购,开放赎回
2013-12-20,1.513,5.524,开放申购,开放赎回
2013-12-21,1.5109,5.558,开放申购,开放赎回
2013-12-22,1.5107,5.592,开放申购,开放赎回
2013-12-23,1.6189,5.67,开放申购,开放赎回
2013-12-24,1.611,5.757,开放申购,开放赎回
2013-12-25,1.7012,5.893,开放申购,开放赎回
2013-12-26,1.7674,6.032,开放申购,开放赎回
2013-12-27,1.803,6.192,开放申购,开放赎回
2013-12-28,1.7889,6.346,开放申购,开放赎回
2013-12-29,1.7886,6.5,开放申购,开放赎回
2013-12-30,1.7947,6.598,开放申购,开放赎回
2013-12-31,1.7869,6.696,开放申购,开放赎回
2014-01-01,1.7807,6.74,开放申购,开放赎回
2014-01-02,1.8092,6.763,开放申购,开放赎回
2014-01-03,1.7847,6.753,开放申购,开放赎回
2014-01-04,1.7751,6.745,开放申购,开放赎回
2014-01-05,1.7748,6.738,开放申购,开放赎回
2014-01-06,1.774,6.726,开放申购,开放赎回
2014-01-07,1.8086,6.738,开放申购,开放赎回
2014-01-08,1.822,6.761,开放申购,开放赎回
2014-01-09,1.7647,6.737,开放申购,开放赎回
2014-01-10,1.7878,6.738,开放申购,开放赎回
2014-01-11,1.7439,6.721,开放申购,开放赎回
2014-01-12,1.7434,6.703,开放申购,开放赎回
2014-01-13,1.7584,6.695,开放申购,开放赎回
2014-01-14,1.7634,6.67,开放申购,开放赎回
2014-01-15,1.7295,6.618,开放申购,开放赎回
2014-01-16,1.723,6.595,开放申购,开放赎回
2014-01-17,1.7139,6.554,开放申购,开放赎回
2014-01-18,1.6772,6.517,开放申购,开放赎回
2014-01-19,1.6767,6.48,开放申购,开放赎回
2014-01-20,1.7235,6.46,开放申购,开放赎回
2014-01-21,1.6958,6.423,开放申购,开放赎回
2014-01-22,1.6853,6.398,开放申购,开放赎回
2014-01-23,1.7491,6.413,开放申购,开放赎回
2014-01-24,1.7296,6.422,开放申购,开放赎回
2014-01-25,1.6815,6.424,开放申购,开放赎回
2014-01-26,1.695,6.434,开放申购,开放赎回
2014-01-27,1.6915,6.416,开放申购,开放赎回
2014-01-28,1.7398,6.441,开放申购,开放赎回
2014-01-29,1.6693,6.432,开放申购,开放赎回
2014-01-30,1.6193,6.36,开放申购,开放赎回
2014-01-31,1.609,6.293,开放申购,开放赎回
2014-02-01,1.6086,6.253,开放申购,开放赎回
2014-02-02,1.6083,6.205,开放申购,开放赎回
2014-02-03,1.608,6.158,开放申购,开放赎回
2014-02-04,1.6078,6.085,开放申购,开放赎回
2014-02-05,1.6072,6.051,开放申购,开放赎回
2014-02-06,1.6069,6.044,开放申购,开放赎回
2014-02-07,1.7017,6.096,开放申购,开放赎回
2014-02-08,1.6795,6.135,开放申购,开放赎回
2014-02-09,1.6792,6.174,开放申购,开放赎回
2014-02-10,1.7004,6.225,开放申购,开放赎回
2014-02-11,1.677,6.263,开放申购,开放赎回
2014-02-12,1.6702,6.298,开放申购,开放赎回
2014-02-13,1.6705,6.334,开放申购,开放赎回
2014-02-14,1.661,6.311,开放申购,开放赎回
2014-02-15,1.6566,6.298,开放申购,开放赎回
2014-02-16,1.6563,6.286,开放申购,开放赎回
2014-02-17,1.6526,6.259,开放申购,开放赎回
2014-02-18,1.6433,6.241,开放申购,开放赎回
2014-02-19,1.6337,6.22,开放申购,开放赎回
2014-02-20,1.6358,6.201,开放申购,开放赎回
2014-02-21,1.6282,6.183,开放申购,开放赎回
2014-02-22,1.6247,6.165,开放申购,开放赎回
2014-02-23,1.6238,6.147,开放申购,开放赎回
2014-02-24,1.6323,6.136,开放申购,开放赎回
2014-02-25,1.6039,6.114,开放申购,开放赎回
2014-02-26,1.596,6.093,开放申购,开放赎回
2014-02-27,1.5792,6.062,开放申购,开放赎回
2014-02-28,1.572,6.031,开放申购,开放赎回
2014-03-01,1.5698,6.001,开放申购,开放赎回
2014-03-02,1.5695,5.971,开放申购,开放赎回
2014-03-03,1.5559,5.928,开放申购,开放赎回
2014-03-04,1.5429,5.895,开放申购,开放赎回
2014-03-05,1.5411,5.864,开放申购,开放赎回
2014-03-06,1.5259,5.835,开放申购,开放赎回
2014-03-07,1.517,5.805,开放申购,开放赎回
2014-03-08,1.5148,5.774,开放申购,开放赎回
2014-03-09,1.5145,5.744,开放申购,开放赎回
2014-03-10,1.5048,5.716,开放申购,开放赎回
2014-03-11,1.4965,5.69,开放申购,开放赎回
2014-03-12,1.4997,5.668,开放申购,开放赎回
2014-03-13,1.4878,5.647,开放申购,开放赎回
2014-03-14,1.4831,5.628,开放申购,开放赎回
2014-03-15,1.4818,5.61,开放申购,开放赎回
2014-03-16,1.4816,5.592,开放申购,开放赎回
2014-03-17,1.4628,5.568,开放申购,开放赎回
2014-03-18,1.4726,5.555,开放申购,开放赎回
2014-03-19,1.4786,5.544,开放申购,开放赎回
2014-03-20,1.4772,5.538,开放申购,开放赎回
2014-03-21,1.4787,5.535,开放申购,开放赎回
2014-03-22,1.4638,5.526,开放申购,开放赎回
2014-03-23,1.4636,5.516,开放申购,开放赎回
2014-03-24,1.4542,5.511,开放申购,开放赎回
2014-03-25,1.446,5.496,开放申购,开放赎回
2014-03-26,1.4345,5.472,开放申购,开放赎回
2014-03-27,1.4273,5.445,开放申购,开放赎回
2014-03-28,1.4255,5.415,开放申购,开放赎回
2014-03-29,1.4259,5.395,开放申购,开放赎回
2014-03-30,1.4257,5.374,开放申购,开放赎回
2014-03-31,1.431,5.361,开放申购,开放赎回
2014-04-01,1.4368,5.356,开放申购,开放赎回
2014-04-02,1.437,5.357,开放申购,开放赎回
2014-04-03,1.4364,5.362,开放申购,开放赎回
2014-04-04,1.4338,5.367,开放申购,开放赎回
2014-04-05,1.4318,5.37,开放申购,开放赎回
2014-04-06,1.4314,5.373,开放申购,开放赎回
2014-04-07,1.4312,5.373,开放申购,开放赎回
2014-04-08,1.4263,5.368,开放申购,开放赎回
2014-04-09,1.4239,5.36,开放申购,开放赎回
2014-04-10,1.4202,5.351,开放申购,开放赎回
2014-04-11,1.4106,5.339,开放申购,开放赎回
2014-04-12,1.4099,5.327,开放申购,开放赎回
2014-04-13,1.4097,5.315,开放申购,开放赎回
2014-04-14,1.4048,5.3,开放申购,开放赎回
2014-04-15,1.4022,5.287,开放申购,开放赎回
2014-04-16,1.3958,5.272,开放申购,开放赎回
2014-04-17,1.3866,5.253,开放申购,开放赎回
2014-04-18,1.3841,5.239,开放申购,开放赎回
2014-04-19,1.3835,5.224,开放申购,开放赎回
2014-04-20,1.383,5.21,开放申购,开放赎回
2014-04-21,1.3866,5.2,开放申购,开放赎回
2014-04-22,1.3813,5.188,开放申购,开放赎回
2014-04-23,1.3654,5.171,开放申购,开放赎回
2014-04-24,1.3515,5.152,开放申购,开放赎回
2014-04-25,1.344,5.13,开放申购,开放赎回
2014-04-26,1.3441,5.109,开放申购,开放赎回
2014-04-27,1.3439,5.087,开放申购,开放赎回
2014-04-28,1.3506,5.067,开放申购,开放赎回
2014-04-29,1.346,5.048,开放申购,开放赎回
2014-04-30,1.3511,5.04,开放申购,开放赎回
2014-05-01,1.3364,5.032,开放申购,开放赎回
2014-05-02,1.3362,5.028,开放申购,开放赎回
2014-05-03,1.3361,5.023,开放申购,开放赎回
2014-05-04,1.3543,5.029,开放申购,开放赎回
2014-05-05,1.3378,5.022,开放申购,开放赎回
2014-05-06,1.3831,5.042,开放申购,开放赎回
2014-05-07,1.3393,5.036,开放申购,开放赎回
2014-05-08,1.3221,5.028,开放申购,开放赎回
2014-05-09,1.3244,5.022,开放申购,开放赎回
2014-05-10,1.3117,5.008,开放申购,开放赎回
2014-05-11,1.3115,4.985,开放申购,开放赎回
2014-05-12,1.3083,4.969,开放申购,开放赎回
2014-05-13,1.3022,4.924,开放申购,开放赎回
2014-05-14,1.2986,4.902,开放申购,开放赎回
2014-05-15,1.2971,4.888,开放申购,开放赎回
2014-05-16,1.2986,4.874,开放申购,开放赎回
2014-05-17,1.2818,4.858,开放申购,开放赎回
2014-05-18,1.2816,4.842,开放申购,开放赎回
2014-05-19,1.3283,4.853,开放申购,开放赎回
2014-05-20,1.3308,4.868,开放申购,开放赎回
2014-05-21,1.323,4.882,开放申购,开放赎回
2014-05-22,1.2887,4.877,开放申购,开放赎回
2014-05-23,1.281,4.867,开放申购,开放赎回
2014-05-24,1.2488,4.849,开放申购,开放赎回
2014-05-25,1.2486,4.831,开放申购,开放赎回
2014-05-26,1.249,4.788,开放申购,开放赎回
2014-05-27,1.2548,4.746,开放申购,开放赎回
2014-05-28,1.2597,4.712,开放申购,开放赎回
2014-05-29,1.2381,4.684,开放申购,开放赎回
2014-05-30,1.279,4.683,开放申购,开放赎回
2014-05-31,1.2376,4.677,开放申购,开放赎回
2014-06-01,1.2364,4.67,开放申购,开放赎回
2014-06-02,1.2305,4.66,开放申购,开放赎回
2014-06-03,1.2473,4.656,开放申购,开放赎回
2014-06-04,1.2611,4.657,开放申购,开放赎回
2014-06-05,1.2818,4.681,开放申购,开放赎回
2014-06-06,1.2476,4.664,开放申购,开放赎回
2014-06-07,1.2474,4.669,开放申购,开放赎回
2014-06-08,1.2473,4.675,开放申购,开放赎回
2014-06-09,1.2719,4.698,开放申购,开放赎回
2014-06-10,1.2628,4.706,开放申购,开放赎回
2014-06-11,1.2723,4.712,开放申购,开放赎回
2014-06-12,1.2625,4.702,开放申购,开放赎回
2014-06-13,1.2801,4.719,开放申购,开放赎回
2014-06-14,1.2678,4.73,开放申购,开放赎回
2014-06-15,1.2677,4.742,开放申购,开放赎回
2014-06-16,1.2581,4.734,开放申购,开放赎回
2014-06-17,1.2436,4.724,开放申购,开放赎回
2014-06-18,1.2244,4.697,开放申购,开放赎回
2014-06-19,1.193,4.66,开放申购,开放赎回
2014-06-20,1.2332,4.634,开放申购,开放赎回
2014-06-21,1.1774,4.585,开放申购,开放赎回
2014-06-22,1.1773,4.535,开放申购,开放赎回
2014-06-23,1.1818,4.494,开放申购,开放赎回
2014-06-24,1.1875,4.463,开放申购,开放赎回
2014-06-25,1.1376,4.416,开放申购,开放赎回
2014-06-26,1.1175,4.375,开放申购,开放赎回
2014-06-27,1.1403,4.324,开放申购,开放赎回
2014-06-28,1.1247,4.296,开放申购,开放赎回
2014-06-29,1.1245,4.267,开放申购,开放赎回
2014-06-30,1.1234,4.235,开放申购,开放赎回
2014-07-01,1.1619,4.221,开放申购,开放赎回
2014-07-02,1.1374,4.221,开放申购,开放赎回
2014-07-03,1.1345,4.23,开放申购,开放赎回
2014-07-04,1.1211,4.22,开放申购,开放赎回
2014-07-05,1.121,4.218,开放申购,开放赎回
2014-07-06,1.1209,4.216,开放申购,开放赎回
2014-07-07,1.1216,4.215,开放申购,开放赎回
2014-07-08,1.1183,4.191,开放申购,开放赎回
2014-07-09,1.1169,4.18,开放申购,开放赎回
2014-07-10,1.1305,4.178,开放申购,开放赎回
2014-07-11,1.12,4.177,开放申购,开放赎回
2014-07-12,1.113,4.173,开放申购,开放赎回
2014-07-13,1.1125,4.169,开放申购,开放赎回
2014-07-14,1.1284,4.172,开放申购,开放赎回
2014-07-15,1.1341,4.181,开放申购,开放赎回
2014-07-16,1.1377,4.192,开放申购,开放赎回
2014-07-17,1.1133,4.183,开放申购,开放赎回
2014-07-18,1.1215,4.184,开放申购,开放赎回
2014-07-19,1.1131,4.184,开放申购,开放赎回
2014-07-20,1.1129,4.184,开放申购,开放赎回
2014-07-21,1.1428,4.192,开放申购,开放赎回
2014-07-22,1.1166,4.182,开放申购,开放赎回
2014-07-23,1.1266,4.176,开放申购,开放赎回
2014-07-24,1.1215,4.181,开放申购,开放赎回
2014-07-25,1.1244,4.182,开放申购,开放赎回
2014-07-26,1.1221,4.187,开放申购,开放赎回
2014-07-27,1.122,4.192,开放申购,开放赎回
2014-07-28,1.1276,4.184,开放申购,开放赎回
2014-07-29,1.1156,4.183,开放申购,开放赎回
2014-07-30,1.1162,4.178,开放申购,开放赎回
2014-07-31,1.1156,4.174,开放申购,开放赎回
2014-08-01,1.1173,4.171,开放申购,开放赎回
2014-08-02,1.118,4.168,开放申购,开放赎回
2014-08-03,1.1178,4.166,开放申购,开放赎回
2014-08-04,1.1451,4.176,开放申购,开放赎回
2014-08-05,1.1203,4.178,开放申购,开放赎回
2014-08-06,1.1162,4.178,开放申购,开放赎回
2014-08-07,1.1186,4.18,开放申购,开放赎回
2014-08-08,1.1397,4.192,开放申购,开放赎回
2014-08-09,1.1173,4.191,开放申购,开放赎回
2014-08-10,1.1172,4.191,开放申购,开放赎回
2014-08-11,1.1235,4.179,开放申购,开放赎回
2014-08-12,1.1146,4.176,开放申购,开放赎回
2014-08-13,1.1138,4.175,开放申购,开放赎回
2014-08-14,1.1367,4.185,开放申购,开放赎回
2014-08-15,1.1129,4.17,开放申购,开放赎回
2014-08-16,1.1128,4.168,开放申购,开放赎回
2014-08-17,1.1126,4.165,开放申购,开放赎回
2014-08-18,1.1122,4.159,开放申购,开放赎回
2014-08-19,1.122,4.163,开放申购,开放赎回
2014-08-20,1.124,4.169,开放申购,开放赎回
2014-08-21,1.1168,4.158,开放申购,开放赎回
2014-08-22,1.104,4.153,开放申购,开放赎回
2014-08-23,1.0997,4.146,开放申购,开放赎回
2014-08-24,1.0993,4.139,开放申购,开放赎回
2014-08-25,1.1122,4.139,开放申购,开放赎回
2014-08-26,1.1085,4.131,开放申购,开放赎回
2014-08-27,1.1079,4.123,开放申购,开放赎回
2014-08-28,1.1043,4.116,开放申购,开放赎回
2014-08-29,1.1169,4.123,开放申购,开放赎回
2014-08-30,1.1206,4.134,开放申购,开放赎回
2014-08-31,1.1204,4.146,开放申购,开放赎回
2014-09-01,1.1192,4.15,开放申购,开放赎回
2014-09-02,1.107,4.149,开放申购,开放赎回
2014-09-03,1.1151,4.153,开放申购,开放赎回
2014-09-04,1.1256,4.164,开放申购,开放赎回
2014-09-05,1.1205,4.166,开放申购,开放赎回
2014-09-06,1.1064,4.158,开放申购,开放赎回
2014-09-07,1.106,4.151,开放申购,开放赎回
2014-09-08,1.1058,4.143,开放申购,开放赎回
2014-09-09,1.1291,4.155,开放申购,开放赎回
2014-09-10,1.1127,4.154,开放申购,开放赎回
2014-09-11,1.1327,4.158,开放申购,开放赎回
2014-09-12,1.1054,4.15,开放申购,开放赎回
2014-09-13,1.1047,4.149,开放申购,开放赎回
2014-09-14,1.1046,4.148,开放申购,开放赎回
2014-09-15,1.1118,4.151,开放申购,开放赎回
2014-09-16,1.1341,4.154,开放申购,开放赎回
2014-09-17,1.1072,4.151,开放申购,开放赎回
2014-09-18,1.1604,4.166,开放申购,开放赎回
2014-09-19,1.105,4.166,开放申购,开放赎回
2014-09-20,1.1047,4.166,开放申购,开放赎回
2014-09-21,1.1045,4.166,开放申购,开放赎回
2014-09-22,1.1118,4.166,开放申购,开放赎回
2014-09-23,1.162,4.181,开放申购,开放赎回
2014-09-24,1.1118,4.183,开放申购,开放赎回
2014-09-25,1.1534,4.18,开放申购,开放赎回
2014-09-26,1.1759,4.218,开放申购,开放赎回
2014-09-27,1.1086,4.22,开放申购,开放赎回
2014-09-28,1.1226,4.23,开放申购,开放赎回
2014-09-29,1.1011,4.224,开放申购,开放赎回
2014-09-30,1.1171,4.2,开放申购,开放赎回
2014-10-01,1.0984,4.193,开放申购,开放赎回
2014-10-02,1.0983,4.163,开放申购,开放赎回
2014-10-03,1.0981,4.12,开放申购,开放赎回
2014-10-04,1.098,4.115,开放申购,开放赎回
2014-10-05,1.0978,4.101,开放申购,开放赎回
2014-10-06,1.0977,4.099,开放申购,开放赎回
2014-10-07,1.0974,4.089,开放申购,开放赎回
2014-10-08,1.1131,4.097,开放申购,开放赎回
2014-10-09,1.1081,4.102,开放申购,开放赎回
2014-10-10,1.1087,4.108,开放申购,开放赎回
2014-10-11,1.1281,4.124,开放申购,开放赎回
2014-10-12,1.0991,4.125,开放申购,开放赎回
2014-10-13,1.1776,4.168,开放申购,开放赎回
2014-10-14,1.1341,4.188,开放申购,开放赎回
2014-10-15,1.1153,4.189,开放申购,开放赎回
2014-10-16,1.1307,4.202,开放申购,开放赎回
2014-10-17,1.108,4.201,开放申购,开放赎回
2014-10-18,1.0992,4.186,开放申购,开放赎回
2014-10-19,1.0985,4.185,开放申购,开放赎回
2014-10-20,1.1215,4.155,开放申购,开放赎回
2014-10-21,1.1281,4.151,开放申购,开放赎回
2014-10-22,1.094,4.14,开放申购,开放赎回
2014-10-23,1.1408,4.145,开放申购,开放赎回
2014-10-24,1.0954,4.139,开放申购,开放赎回
2014-10-25,1.0878,4.132,开放申购,开放赎回
2014-10-26,1.0877,4.126,开放申购,开放赎回
2014-10-27,1.102,4.116,开放申购,开放赎回
2014-10-28,1.1809,4.145,开放申购,开放赎回
2014-10-29,1.1028,4.149,开放申购,开放赎回
2014-10-30,1.0843,4.119,开放申购,开放赎回
2014-10-31,1.0823,4.112,开放申购,开放赎回
2014-11-01,1.082,4.108,开放申购,开放赎回
